anchor_id,anchor_smiles,library_id,library_smiles,similarity,pubchem_cid,cas_number
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],3590449,CCCOC(=O)c1cc2cc(Br)ccc2oc1=O,0.9975,3590449,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],3626590,CCOC(=O)n1c(=O)oc2ccc(Br)cc21,0.9898,3626590,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],10981199,CCOC(=O)c1c(C)oc2ccc(I)cc2c1=O,0.9824,10981199,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1713441,CCCCOC(=O)n1c(=O)oc2cc(Br)ccc21,0.9762,1713441,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1933556,CCCCOC(=O)n1c(=O)oc2cc(Cl)ccc21,0.9744,1933556,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1695653,CCCOC(=O)Oc1ccc2oc(-c3ccc(Cl)cc3)cc(=O)c2c1,0.9701,1695653,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1399259,CC(C)COC(=O)n1c(=O)oc2cc(Cl)ccc21,0.9682,1399259,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],88771868,CCOC(=O)c1cc2oc3ccc(Cl)cc3c(=O)c2nc1N(C)O,0.9672,88771868,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1249476,CCOC(=O)c1cc2cc(Cc3ccccc3Cl)ccc2oc1=O,0.9660,1249476,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1695650,CC(=O)Oc1ccc2oc(-c3ccc(Cl)cc3)cc(=O)c2c1,0.9638,1695650,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1705143,CCC(=O)Oc1c(-c2ccc(Cl)cc2)oc2ccc(CC)cc2c1=O,0.9633,1705143,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1695651,CC(C)C(=O)Oc1ccc2oc(-c3ccc(Cl)cc3)cc(=O)c2c1,0.9629,1695651,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1535554,CCC(=O)Oc1ccc2c(=O)c(-c3ccc(Br)cc3)coc2c1,0.9628,1535554,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1651970,CCOC(=O)c1ccc(COc2c(-c3ccccc3Cl)oc3ccc(Cl)cc3c2=O)o1,0.9626,1651970,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1689896,CCCC(=O)Oc1c(-c2ccc(Cl)cc2)oc2ccccc2c1=O,0.9611,1689896,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1256651,CCOC(=O)c1c(N)oc2c(-c3ccc(Cl)cc3)c3c(C(=O)OCC)c(N)oc3cc12,0.9604,1256651,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],4914899,CCOC(=O)CCc1c(C)c2cc(Cl)c(OC(=O)c3ccco3)cc2oc1=O,0.9599,4914899,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1695842,O=C(COc1ccc(Cl)cc1Cl)Oc1ccc2oc(-c3ccco3)cc(=O)c2c1,0.9599,1695842,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1045654,CCOC(=O)c1c(N)oc2c(Br)c3c(C(=O)OCC)c(N)oc3c(Cl)c12,0.9594,1045654,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1260861,CCOC(=O)c1c(N)oc2c(Br)c3c(C(=O)OCC)c(N)oc3c(Br)c12,0.9589,1260861,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1797750,CCOC(=O)c1cc(-c2ccc(C=NN=Cc3ccc(-c4ccc(Cl)c(C(=O)OCC)c4)o3)o2)ccc1Cl,0.9584,1797750,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1714047,CCCCOC(=O)c1cc(-c2ccc(C=O)o2)ccc1Cl,0.9579,1714047,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1242616,COC(=O)Cc1c(C)c2cc(Cl)c(OC(=O)c3ccco3)cc2oc1=O,0.9572,1242616,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1705204,CCc1ccc2oc(-c3ccc(Cl)cc3)c(OCC(=O)O)c(=O)c2c1,0.9568,1705204,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1988560,CCCCc1cc(=O)oc2cc(O[C@@H](C)C(=O)O)c(Cl)cc12,0.9549,1988560,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1988562,CCCCc1cc(=O)oc2cc(O[C@H](C)C(=O)O)c(Cl)cc12,0.9549,1988562,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1383025,C[C@H](Oc1ccc2cc(-c3ccc(Cl)cc3)c(=O)oc2c1)C(=O)O,0.9545,1383025,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1383026,C[C@@H](Oc1ccc2cc(-c3ccc(Cl)cc3)c(=O)oc2c1)C(=O)O,0.9545,1383026,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1379341,CCOC(=O)c1cc(-c2ccco2)nc2ccc(Br)cc12,0.9542,1379341,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1935492,CCOC(=O)c1c(C)oc2cc(Br)c(OC(=O)c3ccccc3Br)cc12,0.9542,1935492,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1696004,CCOC(=O)COc1c(-c2ccc(Cl)cc2)oc2ccccc2c1=O,0.9542,1696004,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1695693,C[C@H](Oc1ccc2oc(-c3ccc(Cl)cc3)cc(=O)c2c1)C(=O)O,0.9541,1695693,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1695695,C[C@@H](Oc1ccc2oc(-c3ccc(Cl)cc3)cc(=O)c2c1)C(=O)O,0.9541,1695695,
17,[CH3:1][CH2:2][O:13][C:5]([c:8]1[cH:4][c:7]2[cH:3][c:6]([Br:14])[cH:10][cH:12][c:9]2[o:16][c:11]1=[O:17])=[O:15],1705205,CCOC(=O)COc1c(-c2ccc(Cl)cc2)oc2ccc(CC)cc2c1=O,0.9537,1705205,
