,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE
HOMO,1.0000,-0.6778,0.1656,-0.4203,-0.3140,-0.4051,-0.2691,-0.5752,0.4990,0.5464,-0.0072,0.6145,0.3949,0.4874,0.0922,-0.0922,0.5957,0.6663,0.6715,0.1862,0.5629,0.5484,0.5680,-0.3209,-0.2125
HOMO_LUMO_Gap,-0.6778,1.0000,0.6128,0.6261,0.3563,0.5445,0.4651,0.2003,-0.1054,-0.6367,-0.0765,-0.2228,-0.5077,-0.4974,-0.1065,0.1065,-0.1616,-0.2755,-0.2744,-0.3111,-0.6587,-0.6363,-0.6352,0.1142,0.1856
LUMO,0.1656,0.6128,1.0000,0.3881,0.1404,0.2950,0.3346,-0.3496,0.3949,-0.2668,-0.1103,0.3616,-0.2566,-0.1432,-0.0437,0.0437,0.4235,0.3467,0.3537,-0.2172,-0.2784,-0.2640,-0.2416,-0.1917,0.0205
ODI_HOMO,-0.4203,0.6261,0.3881,1.0000,0.6417,0.8757,0.8722,-0.0179,-0.0179,-0.5254,-0.2018,-0.0502,-0.4171,-0.3966,-0.2678,0.2678,-0.0399,-0.1205,-0.1286,-0.3565,-0.5570,-0.4986,-0.5150,0.0705,0.0907
ODI_LUMO,-0.3140,0.3563,0.1404,0.6417,1.0000,0.8458,0.6273,-0.0517,0.0029,-0.4577,-0.0360,-0.0489,-0.3040,-0.3419,-0.3721,0.3721,-0.0478,-0.1037,-0.1146,-0.3106,-0.4791,-0.4612,-0.4544,0.2352,0.0961
ODI_Mean,-0.4051,0.5445,0.2950,0.8757,0.8458,1.0000,0.8622,-0.0408,0.0060,-0.5730,-0.1650,-0.0454,-0.4343,-0.4574,-0.4102,0.4102,-0.0368,-0.1220,-0.1339,-0.4049,-0.5902,-0.5590,-0.5692,0.2151,0.1088
ODI_Std,-0.2691,0.4651,0.3346,0.8722,0.6273,0.8622,1.0000,-0.0435,-0.0278,-0.4073,-0.2145,-0.0266,-0.3062,-0.3226,-0.2466,0.2466,-0.0246,-0.0839,-0.0910,-0.2927,-0.4275,-0.3929,-0.4027,0.1298,0.0740
ESPmin,-0.5752,0.2003,-0.3496,-0.0179,-0.0517,-0.0408,-0.0435,1.0000,-0.7384,0.0371,-0.2214,-0.7715,-0.0247,-0.0248,0.3181,-0.3181,-0.7425,-0.7411,-0.7396,0.0425,0.0402,0.0696,0.0183,0.1063,0.0733
ESPmax,0.4990,-0.1054,0.3949,-0.0179,0.0029,0.0060,-0.0278,-0.7384,1.0000,-0.0930,-0.0030,0.9586,-0.1636,-0.0645,-0.4085,0.4085,0.9669,0.9365,0.9266,-0.1012,-0.0968,-0.0879,-0.0869,0.0076,-0.0010
MolWt,0.5464,-0.6367,-0.2668,-0.5254,-0.4577,-0.5730,-0.4073,0.0371,-0.0930,1.0000,0.0750,0.0678,0.8131,0.8896,0.4011,-0.4011,0.0320,0.1571,0.1897,0.6560,0.9412,0.9706,0.9925,-0.1812,-0.3617
